ลำดับ,ชื่อชุดการแสดง,คำอธิบายชุดการแสดง
13,พนาธาร,"พนาธาร เป็นการแสดงสร้างสรรค์ที่ได้แนวคิดมาจากความสําคัญ
ความตระหนักรู้คุณค่าของป่าและนํ้า ที่ผูกพันกับวิถีชวิตและแผ่นดินเกิด 
การแสดงชุดนี้ นําพื้นฐานนาฏศิลป์ไทยประกอบกับการเคลื่อนไหวร่างกาย
ที่เลียนแบบการเคลื่อนไหวของธรรมชาติ ทั้งป่า และนํ้า"
14,ฟ้อนขันดอก,"ฟ้อนขันดอก เป็นศิลปะการแสดงภาคเหนือที่ถือขันดอก หรือ พาน ประกอบการแสดง 
โดยภายในพาน จะใส่ดอกไม้นานาชนิดที่มีความหมายมงคล การแสดงประกอบด้วยกระบวนท่ารําของล้านนาผสมผสานการโปรยดอกไม้เพื่อความเป็นสิริมงคล"
15,ฟ้อนลีลาวดี,"ฟ้อนลีลาวดี เป็นการแสดงที่ได้แรงบันดาลใจมาจากต้นลีลาวดี 
ต้นไม้ที่มีอายุเกือบ 100 ปี มีความงดงาม ร่มเย็น และมีลักษณะพิเศษ
ที่น่าสนใจแก่ผู้พบเห็นอยู่บริเวณหน้าพระอุโบสถบวรสถานสุทธาวาส
(วัดพระแก้ววังหน้า) สู่แนวคิดการสร้างสรรค์ท่ารํา ให้มีความงดงาม
ตามท่วงทํานองของดนตรี"
16,ระบำม้า,"ระบำม้า เป็นการแสดงที่นางลมุล ยมะคุปต์ 
ผู้เชี่ยวชาญการสอนนาฏศิลป์ไทยคิดท่ารำขึ้นประกอบในละครเรื่องไชยเชษฐ์ ตอนนารายณ์ธิเบศร์เที่ยวป่า ต่อมาได้นำมาแสดงในละครเรื่องรถเสน ซึ่งกล่าวถึง รถเสนถูกนางยักษ์แปลงแกล้งใช้ให้ถือสารไปยังคชบุรีเมืองยักษ์ ก่อนออกเดินทางรถเสนไปคัดเลือกจับม้าที่ดีที่สุด เพื่อใช้เป็นพาหนะในการเดินทาง "
17,ระบำอยุธยา,"เป็นระบำที่ประดิษฐ์ขึ้นใหม่ เมื่อปี พ.ศ. 2529 จากความคิดริเริ่ม ของนายเสรี หวังในธรรม ผู้เชี่ยวชาญพิเศษด้านสังคีตศิลป์และศิลปินแห่งชาติ โดยมีวัตถุประสงค์ที่จะจัดเป็นระบำโบราณคดีอีกชุดหนึ่ง นางเฉลย ศุขะวณิช ผู้เชี่ยวชาญการสอนนาฏศิลป์ไทยและศิลปินแห่งชาติ เป็นผู้ประดิษฐ์ลีลาท่ารำ 
จัดแสดงเป็นครั้งแรกในงานศิลปหัตถกรรม ประจำปี พ.ศ. 2529 "
18,รับขวัญข้าว,"รับขวัญข้าว เป็นการแสดงที่ได้แนวคิดมาจากเรื่องราวพิธีกรรม
ในการทำขวัญข้าว ที่สะท้อนให้เห็นถึงความกตัญญูกตเวทีต่อผู้มีพระคุณ
ด้วยความเคารพบูชา ความสามัคคี ความมีนํ้าใจซึ่งวัฒนธรรมเหล่านี้
เป็นที่แพร่หลายในอดีต จากแนวคิดดังกล่าวนําสู่รูปแบบนาฏศิลป์สร้างสรรค์
เพื่อให้ชนรุ่นหลังเห็นถึงความสําคัญของผืนแผ่นดินที่ให้ความสมบูรณ์
ก่อให้เกิดพืชพรรณธัญญาหารหล่อเลี้ยงชวิตมนุษย์ พระคุณของ “ข้าว” 
อาหารหลักของชาติไทย ตลอดจนจารีตประเพณี วัฒนธรรม
อันแสดงให้เห็นถึงภูมิปัญญาอันทรงคุณค่าที่ควรสืบสาน"
19,ล่องใต้,"ล่องใต้ เป็นการแสดงที่ได้แนวคิดมาจากศิลปวัฒนธรรมและวิถีชีวิต
ความเป็นอยู่ของประชากรทางภาคใต้อันมีเอกลักษณ์เฉพาะที่โดดเด่น
นําสู่การสร้างสรรค์การแสดงสื่อถึงประเพณี วัฒนธรรม วิถีชีวิต
ความเป็นอยู่ การประกอบอาชีพ โดยการแสดงสะท้อนให้เห็นถึงบรรยากาศ 
แห่งความสุข ความสนุกสนานของดินแดนภาคใต้"
20,ลายเกราะ,"ลายเกราะ เป็นการแสดงที่ได้แนวคิดมาจาก เกราะลอ หรือ ขอลอ
เครื่องดนตรีพื้นบ้านชนิดหนึ่งของภาคอีสาน นําเสนอผ่านท่ารําพื้นบ้านอีสาน
ที่มีความงดงาม ผสมผสานลีลาในการตีเกราะสนุกสนาน เร้าใจ
ด้วยท่วงทํานองของดนตรีพื้นบ้านอีสาน "
21,ลีลาหมากแก๊ป,"ลีลาหมากแก๊บ เป็นการแสดงที่ได้แนวคิดมาจากเครื่องดนตรีพื้นบ้านอีสาน
ประเภทเครื่องตี ประกอบจังหวะ มีลักษณะเป็นไม้สั้นและไม้ยาว เรียกว่า
“หมากกับแก๊บ” นํามาเป็นอุปกรณ์สําคัญในการแสดง ผสมผสานวัฒนธรรม 
ท้องถิ่นด้านดนตรีและนาฏศิลป์พื้นบ้านอีสาน เพื่อถ่ายทอดถึงชีวิตความเป็นอยู่ 
ของหญิงสาวชาวบ้านหลังเสร็จงาน ลักษณะการแสดงมีความสนุกสนาน
สอดแทรกเอกลักษณ์ภูมิปัญญาวัฒนธรรม อันทรงคุณค่าของชาวอีสาน"
22,วิรัชสราญรมย์,"วิรัชสราญรมย์ เป็นการแสดงที่ได้แนวคิดมาจากค่านิยมการแต่งกาย
ของบุรุษและสตรีในสมัยรัชกาลที่ 6 โดยได้รับอิทธิพลมาจากชาติตะวันตก
นําเสนอท่าทางการเต้นและรําประกอบท่วงทํานองเพลงไทยและเพลงสากล
อันแสดงให้เห็นถึงการผสมผสานของสองวัฒนธรรม"
23,สยามภารตะ,"สยามภารตะ เป็นการแสดงที่ผสมผสานระหว่างนาฏศิลป์อินเดีย และนาฏศิลป์ไทย
การแสดงสื่อถึงเรื่องราวการถ่ายทอดอารยธรรมและอิทธิพลทางวัฒนธรรม
ของอินเดียสู่ดินแดนสยาม โดยผ่านระยะเวลาการหลอมรวม ตลอดจนผสมผสาน
เป็นรูปแบบนาฏศิลป์ไทยที่งดงาม ใช้กระบวนท่ารํา การเคลื่อนไหวแบบนาฏศิลป์ 
อินเดียประเภทโอดิสสี ภารตนาฏยัม สลับกับท่ารําต้นแบบจากการแสดงราชสํานักของไทย"
24,สักการะเทวราช,"สักการะเทวราช เป็นการแสดงที่ได้แนวคิดมาจากพระราชพิธีอินทราภิเษก
ในสมัยอยุธยา ซึ่งพบว่ามีการแสดงมหรสพในชวงท้ายของพระราชพิธี 
สร้างสรรค์เครื่องแต่งกายและเครื่องประดับจากงานประติมากรรมและ
เครื่องทรงพระพุทธรูปสมัยอยุธยา สร้างสรรค์ท่ารําจากภาพลายเส้นตำรารำ
ต้นกรุงรัตนโกสินทร์ ผสมผสานท่านาฏศิลป์ไทยพื้นฐาน รูปแบบการแสดง
แสดงถึงการบูชาและเทิดทูนองค์พระมหากษัตริย์ดุจดังพระอินทร์"
25,ออเจ้าชาวกรุงศรี,"ออเจ้าชาวกรุงศรี เป็นการแสดงที่ได้แนวคิดมาจากสตรีในราชสํานัก
ที่พร้อมไปด้วยความงาม กิริยาเรียบร้อย การนุ่งห่มอาภรณ์เครื่องประดับ
ทรงคุณค่าและการดําเนินชวิตด้วยความสุนทรีย์ตามรูปแบบกุลสตรี 
ด้วยเสียงดนตรีที่ไพเราะ นําย้อนวันวานแห่งความทรงจํา "
26,พลองไม้สั้น,"พลองไม้สั้น เป็นศิลปะการต่อสู้ชนิดหนึ่งของไทยแต่โบราณ พลองเป็น 
อาวุธยาวใช้สําหรับตีหรือกระทุ้ง ไม้สั้นเป็นอาวุธสั้นสวมทับแขนท่อนปลาย
ผู้ใชไม้สั้นต้องมีความว่องไว มักเป็นฝ่ายรุกเข้าประชิดตัวคู่ต่อสู้ 
พลองไม้สั้นเป็นการแสดงการต่อสู้แบบตัวต่อตัว แบ่งเป็น 2 ฝ่าย 
นิยมแบ่งเป็นฝ่ายสีแดงและสีน้ำเงิน ผู้แสดงต้องผ่านการฝึกหัดขั้นพื้นฐาน 
จนถึงฝึกท่าตีหลัก ประกอบด้วย การตีรุก การตีรับ และการตีลูกไม้
จนเกิดความชำนาญสามารถจดจํากระบวนท่าต่อสู้ได้เป็นอย่างดี"
27,มวยคาดเชือก,"มวยคาดเชือก เป็นการแสดงศิลปะการต่อสู้มวยไทยสมัยโบราณ 
โดยการใชเชือกพันที่มือและช่วงปลายแขนทั้ง 2 ศิลปะมวยไทย
คือ การผสมผสานการใช่หมัด เท้า เข่า ศอก มีแม่ไม้มวยทั้งท่ารุก
และรับสําหรับใช้ในการต่อสู้ ผู้แสดงจึงต้องผ่านการฝึกเบื้องต้น 
ในการใช้กระบวนท่าให้คล่องแคล่ว "
28,ระบำชาวนา,"ระบําชาวนา เป็นการแสดงที่สะท้อนให้เห็นวิถีการประกอบอาชีพกสิกรรม 
ของชาวนา ประกอบด้วยการไถ หว่าน และการเกี่ยวข้าวในนาด้วยความสุข
ใช้ผู้แสดงชาย - หญิง เปรียบเสมือนเป็นชาวนา"
29,รำเถิดเทิง,"รําเถิดเทิง หรือเรียกอีกอย่างว่ารํากลองยาว เป็นการแสดงรําหยอกล้อ
ยั่วเย้าของฝ่ายชายและฝ่ายหญิง โดยมีการตีกลองยาวเป็นจังหวะ 
ประกอบการแสดงที่สนุกสนานรื่นเริง"
30,รำวงมาตรฐาน,"รําวงมาตรฐาน เป็นการแสดงที่ปรับปรุงมาจากการรําโทน นิยมเป็นการละเล่น
รื่นเริงประจําฤดูกาลของไทยภาคกลาง ซึ่งกระบวนท่ารําจะกําหนดไปตามเพลง
รวมทั้งสิ้น10 เพลง คือ เพลงงามแสงเดือน เพลงชาวไทย เพลงรำซิมารำ
เพลงคืนเดือนหงาย เพลงดวงจันทร์วันเพ็ญ เพลงดอกไม้ของชาติ
เพลงดวงจันทร์ขวัญฟ้า เพลงหญิงไทยใจงาม 
เพลงบูชานักรบ และเพลงยอดชายใจหาญ"
31,รำสีนวล,"รําสีนวล เป็นศิลปะการแสดงที่สวยงามทังท่ารําและเพลงขับร้องที่มีความไพเราะ
ลักษณะท่ารําและคําร้อง หมายถึง อิริยาบถที่นุ่มนวลอ่อนช้อยของกุลสตรี 
นิยมจัดแสดงในงานทั่วไป"
32,โนรา,"โนรา เป็นศิลปะการแสดงที่เก่าแก่ของชาวไทยภาคใต้ มีแบบแผนสืบต่อกันมาหลายร้อยปี
ท่ารําโนราบรรยายถึงลักษณะท่ารําของกินรี และใช้สําหรับเป็นการรําบูชาครู 
เพื่อความสวัสดิมงคล ยูเนสโกประกาศรับรองขึ้นทะเบียนเป็นมรดกภูมิปัญญา
ทางวัฒนธรรมที่จับต้องไม่ได้ของมนุษยชาติ"
33,รองเง็ง,"รองเง็ง เป็นการละเล่นของชาวไทยทางภาคใต้ ที่ได้รับอิทธิพลของชาวตะวันตก
โดยเฉพาะสเปน และโปรตุเกส ที่ติดต่อค้าขายกับชาวมลายู โดยเผยแพร่มาทาง
จังหวัดชายแดนทางตอนใต้ของไทย ผู้แสดงประกอบด้วยชายหญิงรําเป็นคู่
นิยมแสดงในงานรื่นเริงทั่วไป"
34,ระบำตารีกีปัส,"ระบําตารีกีปัส เป็นการแสดงรําพัดทางภาคใต้ของไทย ผู้แสดงหญิง
ถือพัดทัง 2 มือ ร่ายรําประกอบเพลงที่บรรเลงด้วยเครื่องดนตรีพื้นเมืองภาคใต้
ผสมผสานเครื่องประกอบจังหวะและเครื่องดนตรีตะวันตกที่มีความไพเราะ"
35,ระบำตารีบุหงา,"ตารีบุหงา เป็นภาษามลายู “ตารี” แปลว่า รําหรือระบํา “บุหงา”
แปลว่า ดอกไม้ ตารีบุหงา จึงหมายถึง ระบําดอกไม้ ได้แนวคิดมาจาก
ช่อดอกไม้ที่ใช้ แทนของที่ระลึกเพื่อมอบให้แขกที่มาร่วมในงานแต่งงาน 
ของชาวไทยมุสลิม ผู้แสดงสวมเครื่องแต่งกายแบบพื้นบ้านภาคใต้
ถือพานดอกไม้ประกอบกระบวนท่ารําที่งดงาม "
36,ระบำร่อนแร่,"ระบําร่อนแร่ เป็นการแสดงทางภาคใต้ของไทย มีลีลาท่ารําที่สื่อความหมาย
ถึงการประกอบอาชีพหาแร่จากแหล่งน้ำธรรมชาติของหญิงสาว 
เริ่มด้วยการร่อนแร่ เก็บแร่ ประกอบจังหวะดนตรีที่สนุกสนานรื่นเริงใจ"
37,กลองสะบัดชัย,"กลองสะบัดชัย เป็นศิลปะการตีกลองของชาวล้านนาทางภาคเหนือของไทย 
มีศิลปะการตี เพื่อสร้างความฮึกเหิมก่อนออกรบทําสงครามกับข้าศึก
ต่อมานิยมตีกลองในขบวนแห่เกี่ยวกับพิธีทางศาสนา ผู้ตีกลองสะบัดชัย จะตีด้วยท่าทางคล่องแคล่วว่องไว โลดโผนและสนุกสนาน นอกจากนี้สามารถจัดแสดงในงานต่าง ๆ เพื่อความเป็นสิริมงคล"
38,ฟ้อนจันทราพาฝัน,ชุดการฟ้อนตามท่วงทำนองและบทร้อง ที่บรรยายถึงหญิงสาวชาวเหนือผู้หลงใหลใฝ่ฝันในความงามของแสงจันทร์ โดยมีลีลาท่าฟ้อนอันอ่อนช้อยงดงาม ออกแบบท่ารำโดยท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ผู้เชี่ยวชาญนาฏศิลป์ไทยและศิลปินแห่งชาติ ส่วนบทร้องนั้น ประพันธ์ร่วมกับนายประพันธ์ สุคนธะชาติ ในทำนองเพลงลาวคำหอม
39,ฟ้อนเจิง,"ฟอนเจิง เป็นศิลปะการฟ้อนของชาวล้านนาทางภาคเหนือของไทย 
ที่แสดงถึงศิลปะการต่อสู้ ประกอบลีลา ท่าฟอน ที่สื่อถึงการต่อสู้ด้วยมือเปล่า 
หรือการต่อสู้ด้วยอาวุธ เชน หอก ดาบ "
40,ฟ้อนดวงเดือน,เป็นการแสดงที่มีลักษณะการเกี้ยวพาราสีของชายหนุ่มหญิงสาว เพลงที่ใช้เป็นเพลงอัตราจังหวะสองชั้น สำเนียงลาว ทรงพระนิพนธ์คำร้อง และทำนองโดยพระเจ้าบรมวงศ์เธอ กรมหมื่นพิชัยมหินทโรดม
41,ฟ้อนที,"ที หมายถึง ร่ม เป็นภาษา “ไต” นํามาใช้เป็นอุปกรณ์ประกอบท่าฟ้อน
ผสมกับท่ารําของชาวไต จังหวัดแม่ฮ่องสอนในภาคเหนือของไทย
ลีลาท่ารําเน้นศิลปะการใช้ร่มในลักษณะต่าง ๆ ที่งดงาม 
ตามท่วงทํานองดนตรีพื้นบ้านภาคเหนือ"
42,ฟ้อนเทียน,"ฟ้อนเทียน เป็นการฟ้อนแบบหนึ่งทางภาคเหนือของประเทศไทย 
ผู้ฟ้อนเป็นหญิงสาวถือเทียนจุดไฟข้างละ 1 เล่ม ร่ายรําไปตามทํานองเพลง 
นิยมแสดงในเวลากลางคืน เพื่อให้เห็นการเคลื่อนไหวของเปลวเทียนได้ชดเจน"
43,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ "
44,ฟ้อนมาลัย,ฟ้อนมาลัย หรือ ฟ้อนดวงดอกไม้ เป็นเพลงเก่าของราชสำนักเชียงใหม่ เจ้าดารารัศมีพระชายาในพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ได้ทรงนำมาใช้ในละครเรื่อง “น้อยใจยา” เมื่อกรมศิลปากรแสดงละครพันทางเรื่อง “พญาผานอง” ณ โรงละครแห่งชาติ เมื่อ พ.ศ. 2501 อาจารย์มนตรี  ตราโมท ได้นำทำนองเพลงฟ้อนดวงดอกไม้มาใช้เป็นเพลงฟ้อนของนางข้าหลวงของนางพญาคำปิน โดยได้แต่งบทร้องขึ้นมาใหม่ และท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ประดิษฐ์ท่ารำ ฟ้อนชุดนี้ออกเพลงซุ้ม ซึ่งเป็นเพลงสำเนียงลาวชั้นเดียว
45,ฟ้อนรัก,เป็นการแสดงชุดหนึ่งในละครพันทางเรื่องพระลอ ตอน พระลอลงสวน พระนิพนธ์ของพระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์ ที่ทรงปรับปรุงขึ้นจากวรรณคดีลิลิตพระลอ บทร้องและลีลาท่ารำแสดงถึงความรักของนายแก้วนายขวัญสองพระพี่เลี้ยงของพระลอกษัตริย์แห่งแมนสรวง กับนางรื่นนางโรยพระพี่เลี้ยงของพระเพื่อนพระแพง พระราชธิดาของท้าวพิชัยพิษณุกรแห่งเมืองสรอง
46,ฟ้อนเล็บ,"ฟ้อนเล็บ เป็นศิลปะการฟ้อนของทางภาคเหนือของไทย
นิยมจัดแสดงในการต้อนรับแขกผู้มาเยือนให้เกิดความประทับใจ
ผู้แสดงสวมเล็บสีทองร่ายรําตามรูปแบบการฟ้อนประกอบบทร้องและทํานองเพลง "
47,ฟ้อนสาวไหม,"ฟ้อนสาวไหม เป็นศิลปะการฟ้อนของทางภาคเหนือ มีลีลาท่ารํา
สื่อความหมายถึงกรรมวิธีการทอผ้าไหม เริมด้วยขั้นตอนการปลูกต้นหม่อน 
เก็บฝ้าย สาวไหม และทอผ้า มีรูปแบบการฟ้อนรําตามทํานองเพลงในจังหวะช้า
ใช้เครื่องดนตรีพื้นบ้านภาคเหนือ เช่น สะล้อ ซอ ซึง"
48,ระบำเก็บใบชา,"ระบําเก็บใบชา เป็นการแสดงทางภาคเหนือมีลีลาท่ารําที่สื่อความหมาย
ถึงกรรมวิธีการเก็บใบชาของชาวเขา เริ่มตั้งแต่ช่วงเช้าาออกเดินทางไปเก็บใบชา 
ที่ปลูกอยู่ตามไหล่เขา ต่อจากนั้นนํามาเลือกใบและผึ่งแดด มีการละเล่นที่สนุกสนาน 
รื่นเริงขณะรอใบชาแห้ง ช่วงเย็นจึงเก็บใบชาและเดินทางกลับบ้าน 
ผู้แสดงชายหญิงแต่งกายแบบชาวพื้นเมืองภาคเหนือของไทย "
49,กระทบสากหรือกระทบไม้,"กระทบสากหรือกระทบไม้ เป็นการละเล่นพื้นเมืองของชาวจังหวัดสุรินทร์
ภาคอีสานของไทย เดิมเรียกว่า “เต้นสาก” ด้วยนิสัยรักสนุกของชาวไทย
เมื่อเสร็จกิจวัตรจากการทํานา จึงนําสากตำข้าวมากระทบกัน เป็นเครื่องประกอบจังหวะ
พร้อมกับมีการละเล่นให้เข้ากับจังหวะ เป็นการแสดงที่สนุกสนานระหว่างชายหญิง
เกี้ยวพาราสีกัน สื่อให้เห็นความงามของพระจันทร์ยามคํ่าคืน ทําให้เกิดความเพลิดเพลินใจ
ชายหญิงจึงชวนกันมาเชอมความสัมพันธ์ ด้วยการเล่นกระทบไม้ "
50,เซิ้งกระติบข้าว,"เซิงกระติบข้าว เป็นการแสดงพื้นเมืองของชาวภูไท นิยมแสดงกัน 
ในโอกาสรื่นเริงวันนักขัตฤกษ์ การแสดงสื่อถึงหญิงสาวนําอาหารไป
ให้แก่บุคคลอันเป็นที่รัก ความสวยงามของกระบวนท่ารําอยู่ที่กิริยาท่าทาง
การเดินของหญิงสาวทังแบบช้าแล้วเร่งรีบ การดีดข้าวเหนียว การปั้นข้าวเหนียว "
51,เซิ้งตังหวาย,"เซิ้งตังหวาย เป็นศิลปะการแสดงที่ปรากฏในวัฒนธรรมสองฝั่งแม่น้ำโขง
ระหว่างไทยและลาว โดยเริ่มต้นจากการขับลำนำประกอบดนตรี 
ต่อด้วยการฟ้อนรําประกอบทํานองลำตังหวาย เป็นที่นิยมนํามา 
ขับลําเพื่อความบันเทิงสองฝั่งแม่น้ำโขง และมีการนํามาสร้างสรรค์
การขับร้องประกอบการแสดงอยู่เสมอ"
